"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US37","North Carolina","11046024","*****","6720153","16100","2189327","17715","129569","8190","400663","6053","8442","2221","617585","25445","980285","28934","499554","21783","480731","19178",
"0500000US37001","Alamance County, North Carolina","183040","*****","105336","2071","35159","2693","2761","1929","4128","922","415","489","17773","2661","17468","3322","7312","2461","10156","2947",
"0500000US37019","Brunswick County, North Carolina","167112","*****","136123","2138","13457","1723","557","305","1090","540","0","226","7765","2611","8120","2068","2022","1055","6098","1935",
"0500000US37021","Buncombe County, North Carolina","279210","*****","230177","2266","12414","2224","642","757","3059","715","0","226","8181","2854","24737","4031","11017","2494","13720","2875",
"0500000US37023","Burke County, North Carolina","88545","*****","70152","1655","4010","978","1093","967","3278","433","74","133","3729","1976","6209","2427","3375","2172","2834","861",
"0500000US37025","Cabarrus County, North Carolina","244925","*****","138046","2237","51152","4645","403","288","20302","2253","95","129","17825","4216","17102","3984","6608","2472","10494","3006",
"0500000US37027","Caldwell County, North Carolina","80739","*****","69854","1409","2751","1413","375","419","348","255","0","226","3055","1664","4356","1821","1174","801","3182","1419",
"0500000US37031","Carteret County, North Carolina","70259","*****","60552","624","3539","574","302","136","502","339","0","226","751","391","4613","974","2707","824","1906","690",
"0500000US37035","Catawba County, North Carolina","167054","*****","125523","3345","13907","3241","2578","2413","7541","1016","133","252","5887","3518","11485","3672","5648","2284","5837","2858",
"0500000US37037","Chatham County, North Carolina","83874","*****","60921","2671","7906","1636","1622","1394","2526","321","427","546","4317","2032","6155","2501","4305","2172","1850","1440",
"0500000US37045","Cleveland County, North Carolina","102194","*****","71957","904","18854","2082","470","554","1311","188","0","226","2781","1389","6821","2206","2476","1116","4345","2039",
"0500000US37049","Craven County, North Carolina","104167","*****","70054","1846","19100","2309","386","187","3242","624","7","3","2167","747","9211","2950","4909","1651","4302","2421",
"0500000US37051","Cumberland County, North Carolina","338430","*****","137795","1881","129302","2394","4854","1103","9638","1376","964","421","13227","2669","42650","4030","19074","2936","23576","3348",
"0500000US37057","Davidson County, North Carolina","177809","*****","136800","2368","13529","2036","2254","1456","2245","683","29","57","4959","2845","17993","3075","5968","2451","12025","2372",
"0500000US37063","Durham County, North Carolina","343628","*****","147465","2257","103111","4368","3386","1908","20086","1304","139","221","32130","5294","37311","7211","21109","5114","16202","3771",
"0500000US37067","Forsyth County, North Carolina","398143","*****","215277","2214","96498","4753","1950","1232","9624","1008","786","794","32492","6292","41516","6517","19585","4496","21931","5916",
"0500000US37069","Franklin County, North Carolina","79771","*****","48383","835","18557","1262","43","77","1131","226","0","226","5598","1603","6059","1970","3439","1633","2620","1354",
"0500000US37071","Gaston County, North Carolina","242010","*****","158674","3518","40336","3511","1043","678","4398","774","73","89","14732","3444","22754","3861","5976","1873","16778","3676",
"0500000US37081","Guilford County, North Carolina","558816","*****","258010","4314","185493","4576","1895","842","32376","1770","321","359","24778","4476","55943","7241","30520","5930","25423","4544",
"0500000US37085","Harnett County, North Carolina","146096","*****","89133","2572","27782","2213","1073","926","1884","746","154","233","7452","2519","18618","3363","8243","2307","10375","2787",
"0500000US37089","Henderson County, North Carolina","120771","*****","96138","723","2908","591","2426","2710","966","411","0","226","7261","2574","11072","2428","6773","2293","4299","951",
"0500000US37097","Iredell County, North Carolina","206361","*****","149794","1903","21543","2072","146","87","4961","465","197","332","8977","2670","20743","4231","9559","2803","11184","2487",
"0500000US37101","Johnston County, North Carolina","249794","*****","156489","4707","44839","2632","1734","1137","2320","690","301","327","24414","5186","19697","4640","10748","3391","8949","2613",
"0500000US37105","Lee County, North Carolina","68537","*****","41967","2192","11546","1078","294","424","636","428","94","195","7464","2425","6536","2415","3716","1903","2820","1191",
"0500000US37109","Lincoln County, North Carolina","97611","*****","79143","1729","5589","913","1448","1558","485","501","71","121","4694","2110","6181","1764","3510","1662","2671","714",
"0500000US37119","Mecklenburg County, North Carolina","1206285","*****","535556","5982","353783","7205","9870","4360","79337","2676","534","96","113174","9615","114031","11752","64428","9237","49603","7087",
"0500000US37125","Moore County, North Carolina","108417","*****","83844","1414","10169","1240","716","345","1384","524","0","226","3366","1613","8938","2052","4737","1546","4201","1498",
"0500000US37127","Nash County, North Carolina","97990","*****","46469","1465","38178","2119","370","287","1466","126","0","226","6251","1548","5256","2177","1313","851","3943","1896",
"0500000US37129","New Hanover County, North Carolina","243333","*****","184926","3272","26121","2022","555","343","2865","949","115","201","8587","3242","20164","4184","10533","3565","9631","2688",
"0500000US37133","Onslow County, North Carolina","212954","*****","138499","4820","24155","3085","1690","633","5036","1211","604","789","12018","5107","30952","4228","13625","2505","17327","3655",
"0500000US37135","Orange County, North Carolina","152877","*****","102902","1593","16192","1144","555","224","12523","1179","89","111","4424","1891","16192","2818","9755","2608","6437","1550",
"0500000US37141","Pender County, North Carolina","70077","*****","53243","557","7784","1095","71","111","594","293","0","226","3101","1598","5284","1958","3284","1541","2000","1119",
"0500000US37147","Pitt County, North Carolina","180783","*****","94337","923","63275","2101","721","803","4223","740","23","39","9413","2140","8791","2640","2567","1379","6224","2224",
"0500000US37151","Randolph County, North Carolina","148389","*****","110654","1469","8701","1661","1252","1241","2464","289","0","226","12540","3404","12778","3396","9280","3479","3498","1447",
"0500000US37155","Robeson County, North Carolina","118624","*****","28032","1122","28227","651","43944","1184","1157","195","144","135","10582","1363","6538","1489","1990","815","4548","1306",
"0500000US37157","Rockingham County, North Carolina","93517","*****","66939","2637","16499","1427","182","202","370","131","0","226","2696","2164","6831","2249","2605","1812","4226","1642",
"0500000US37159","Rowan County, North Carolina","153384","*****","103784","1780","22581","2927","443","544","907","383","0","226","7174","2545","18495","4179","10127","3338","8368","2566",
"0500000US37161","Rutherford County, North Carolina","65587","*****","54191","658","3369","1111","416","397","0","226","0","226","237","289","7374","1300","2802","749","4572","1132",
"0500000US37167","Stanly County, North Carolina","67326","*****","51544","696","6700","1193","93","116","1267","245","0","226","2683","1053","5039","1435","2014","894","3025","1182",
"0500000US37171","Surry County, North Carolina","71547","*****","59100","1086","2666","624","616","745","453","161","0","226","3826","2038","4886","2017","4129","2025","757","237",
"0500000US37179","Union County, North Carolina","263386","*****","180226","3430","30359","2395","1543","1335","15156","1005","408","560","11699","3167","23995","4308","17004","3727","6991","2418",
"0500000US37183","Wake County, North Carolina","1232444","*****","698951","6587","229430","5873","3322","1682","119388","3180","181","309","65586","7475","115586","11230","62455","7358","53131","6636",
"0500000US37191","Wayne County, North Carolina","120338","*****","59990","1689","33495","2371","114","87","1465","646","0","226","2239","1214","23035","3137","16998","2274","6037","2516",
"0500000US37193","Wilkes County, North Carolina","66186","*****","58627","1138","2779","1045","54","104","54","98","0","226","1425","1388","3247","1460","1523","1240","1724","1023",
"0500000US37195","Wilson County, North Carolina","79958","*****","37299","1871","29917","1313","506","651","1148","100","0","226","7316","2170","3772","1865","2081","1406","1691","994",
